Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1990-12-01,328.75,12.09,21.34,133.8,8.08,752.16,27.66,48.82,15.85
1991-01-01,325.49,12.1067,21.1833,134.6,8.09,740.28,27.53,48.18,15.61
1991-02-01,362.26,12.1133,21.0267,134.8,7.85,822.68,27.51,47.75,17.35
1991-03-01,372.28,12.11,20.94,135.0,8.11,844.19,27.46,47.48,17.82
1991-04-01,379.68,12.13,20.3633,135.2,8.04,859.69,27.47,46.11,18.16
1991-05-01,377.99,12.14,19.8567,135.6,8.07,853.34,27.41,44.83,18.04
1991-06-01,378.29,12.15,19.41,136.0,8.28,851.51,27.35,43.69,18.02
1991-07-01,380.23,12.1933,18.84,136.2,8.27,854.62,27.41,42.35,18.1
1991-08-01,389.4,12.2367,18.33,136.6,7.9,872.67,27.42,41.08,18.51
1991-09-01,387.2,12.28,17.82,137.2,7.65,863.94,27.4,39.76,18.36
1991-10-01,386.88,12.2533,17.2033,137.4,7.53,861.97,27.3,38.33,18.35
1991-11-01,385.92,12.2267,16.5867,137.8,7.42,857.33,27.16,36.85,18.29
1991-12-01,388.51,12.2,15.97,137.9,7.09,862.46,27.08,35.45,18.44
1992-01-01,416.08,12.24,16.0467,138.1,7.03,922.33,27.13,35.57,19.77
1992-02-01,412.56,12.28,16.1233,138.6,7.34,911.23,27.12,35.61,19.58
1992-03-01,407.36,12.32,16.19,139.3,7.54,895.22,27.07,35.58,19.28
1992-04-01,407.41,12.32,16.4833,139.5,7.48,894.05,27.04,36.17,19.3
1992-05-01,414.81,12.32,16.7667,139.7,7.39,908.98,27.0,36.74,19.66
1992-06-01,408.27,12.32,17.05,140.2,7.26,891.46,26.9,37.23,19.32
1992-07-01,415.05,12.3433,17.38,140.5,6.84,904.33,26.89,37.87,19.62
1992-08-01,417.93,12.3667,17.71,140.9,6.59,908.02,26.87,38.48,19.72
1992-09-01,418.48,12.4,18.04,141.3,6.42,906.64,26.86,39.08,19.71
1992-10-01,412.5,12.3867,18.39,141.8,6.59,890.53,26.74,39.7,19.37
1992-11-01,422.84,12.3833,18.74,142.0,6.87,911.57,26.7,40.4,19.83
1992-12-01,435.64,12.39,19.09,141.9,6.77,939.83,26.73,41.18,20.45
1993-01-01,435.23,12.4133,19.34,142.6,6.6,934.33,26.65,41.52,20.32
1993-02-01,441.7,12.4467,19.59,143.1,6.26,944.91,26.63,41.91,20.55
1993-03-01,450.16,12.48,19.84,143.6,5.98,959.65,26.6,42.3,20.86
1993-04-01,443.08,12.4933,19.67,144.0,5.97,941.94,26.56,41.82,20.46
1993-05-01,445.25,12.5067,19.5,144.2,6.04,945.24,26.55,41.4,20.52
1993-06-01,448.06,12.52,19.33,144.4,5.96,949.89,26.54,40.98,20.61
1993-07-01,447.29,12.52,19.69,144.4,5.81,948.25,26.54,41.74,20.56
1993-08-01,454.13,12.52,20.05,144.8,5.68,960.09,26.47,42.39,20.81
1993-09-01,459.24,12.52,20.41,145.1,5.36,968.89,26.41,43.06,20.99
1993-10-01,463.9,12.54,20.9,145.7,5.33,974.69,26.35,43.91,21.11
1993-11-01,462.89,12.56,21.39,145.8,5.72,971.9,26.37,44.91,21.04
1993-12-01,465.95,12.58,21.89,145.8,5.77,978.33,26.41,45.96,21.16
1994-01-01,472.99,12.6233,22.1567,146.2,5.75,990.39,26.43,46.39,21.41
1994-02-01,471.58,12.6667,22.4333,146.7,5.97,984.07,26.43,46.81,21.26
1994-03-01,463.81,12.71,22.71,147.2,6.48,964.57,26.43,47.23,20.83
1994-04-01,447.23,12.7533,23.54,147.4,6.97,928.83,26.49,48.89,20.06
1994-05-01,450.9,12.7967,24.37,147.5,7.18,935.82,26.56,50.58,20.2
1994-06-01,454.83,12.84,25.2,148.0,7.1,940.78,26.56,52.12,20.29
1994-07-01,451.4,12.87,25.91,148.4,7.3,931.17,26.55,53.45,20.07
1994-08-01,464.24,12.9,26.62,149.0,7.24,953.8,26.5,54.69,20.54
1994-09-01,466.96,12.92,27.33,149.4,7.46,956.82,26.47,56.0,20.58
1994-10-01,463.81,13.0133,28.42,149.5,7.74,949.73,26.65,58.19,20.4
1994-11-01,461.01,13.0967,29.51,149.7,7.96,942.74,26.78,60.35,20.21
1994-12-01,455.19,13.17,30.6,149.7,7.81,930.84,26.93,62.58,19.91
1995-01-01,465.25,13.18,31.25,150.3,7.78,947.61,26.84,63.65,20.22
1995-02-01,481.92,13.18,31.9,150.9,7.47,977.66,26.74,64.71,20.8
1995-03-01,493.15,13.17,32.55,151.4,7.2,997.14,26.63,65.82,21.15
1995-04-01,507.91,13.2433,33.1767,151.9,7.06,1023.6,26.69,66.86,21.64
1995-05-01,523.81,13.3067,33.8033,152.2,6.63,1053.57,26.76,67.99,22.2
1995-06-01,539.35,13.36,34.43,152.5,6.17,1082.69,26.82,69.11,22.72
1995-07-01,557.37,13.44,34.68,152.5,6.28,1118.86,26.98,69.62,23.38
1995-08-01,559.11,13.51,34.93,152.9,6.49,1119.42,27.05,69.93,23.28
1995-09-01,578.77,13.58,35.18,153.2,6.2,1156.51,27.14,70.3,23.95
1995-10-01,582.92,13.65,34.7733,153.7,6.04,1161.01,27.19,69.26,23.93
1995-11-01,595.53,13.72,34.3667,153.6,5.93,1186.9,27.34,68.49,24.35
1995-12-01,614.57,13.79,33.96,153.5,5.71,1225.65,27.5,67.73,25.03
1996-01-01,614.42,13.8933,33.9867,154.4,5.65,1218.21,27.55,67.39,24.76
1996-02-01,649.54,13.9967,34.0133,154.9,5.81,1283.68,27.66,67.22,25.98
1996-03-01,647.07,14.1,34.04,155.7,6.27,1272.23,27.72,66.93,25.63
1996-04-01,647.17,14.1567,34.33,156.3,6.51,1267.54,27.73,67.24,25.42
1996-05-01,661.23,14.2133,34.62,156.6,6.74,1292.6,27.78,67.68,25.81
1996-06-01,668.5,14.27,34.91,156.7,6.91,1305.97,27.88,68.2,25.97
1996-07-01,644.07,14.4,35.2733,157.0,6.87,1255.84,28.08,68.78,24.86
1996-08-01,662.68,14.53,35.6367,157.3,6.64,1289.67,28.28,69.35,25.41
1996-09-01,674.88,14.66,36.0,157.8,6.83,1309.25,28.44,69.84,25.68
1996-10-01,701.46,14.74,36.91,158.3,6.53,1356.51,28.5,71.38,26.48
1996-11-01,735.67,14.82,37.82,158.6,6.2,1419.98,28.61,73.0,27.59
1996-12-01,743.25,14.9,38.73,158.6,6.3,1434.61,28.76,74.76,27.72
1997-01-01,766.22,14.9533,39.2333,159.1,6.58,1474.3,28.77,75.49,28.33
1997-02-01,798.39,15.0067,39.7367,159.6,6.42,1531.39,28.78,76.22,29.27
1997-03-01,792.16,15.06,40.24,160.0,6.69,1515.64,28.81,76.99,28.8
1997-04-01,763.93,15.0933,40.3433,160.2,6.89,1459.8,28.84,77.09,27.59
1997-05-01,833.09,15.1267,40.4467,160.1,6.71,1592.95,28.92,77.34,29.93
1997-06-01,876.29,15.16,40.55,160.3,6.49,1673.47,28.95,77.44,31.26
1997-07-01,925.29,15.2167,40.58,160.5,6.22,1764.84,29.02,77.4,32.77
1997-08-01,927.24,15.2733,40.61,160.8,6.3,1765.26,29.08,77.31,32.59
1997-09-01,937.02,15.33,40.64,161.2,6.21,1779.45,29.11,77.18,32.67
1997-10-01,951.16,15.3867,40.3333,161.6,6.03,1801.83,29.15,76.41,32.9
1997-11-01,938.92,15.4433,40.0267,161.5,5.88,1779.75,29.27,75.87,32.34
1997-12-01,962.37,15.5,39.72,161.3,5.81,1826.46,29.42,75.38,33.03
1998-01-01,963.36,15.55,39.66,161.6,5.54,1824.94,29.46,75.13,32.86
1998-02-01,1023.74,15.6,39.6,161.9,5.57,1935.73,29.5,74.88,34.71
1998-03-01,1076.83,15.64,39.54,162.2,5.65,2032.35,29.52,74.63,36.3
1998-04-01,1112.2,15.75,39.35,162.5,5.64,2095.23,29.67,74.13,37.28
1998-05-01,1108.42,15.85,39.16,162.8,5.65,2084.26,29.8,73.64,36.96
1998-06-01,1108.39,15.95,38.97,163.0,5.5,2081.65,29.96,73.19,36.8
1998-07-01,1156.58,16.0167,38.6767,163.2,5.46,2169.49,30.04,72.55,38.26
1998-08-01,1074.62,16.0833,38.3833,163.4,5.34,2013.28,30.13,71.91,35.42
1998-09-01,1020.64,16.14,38.09,163.6,4.81,1909.82,30.2,71.27,33.53
1998-10-01,1032.47,16.1667,37.9633,164.0,4.53,1927.24,30.18,70.86,33.77
1998-11-01,1144.43,16.1833,37.8367,164.0,4.83,2136.23,30.21,70.63,37.37
1998-12-01,1190.05,16.2,37.71,163.9,4.65,2222.74,30.26,70.43,38.82
1999-01-01,1248.77,16.28333333,37.93333333,164.3,4.72,2326.74,30.34,70.68,40.58
1999-02-01,1246.58,16.36666667,38.15666667,164.5,5.0,2319.83,30.46,71.01,40.4
1999-03-01,1281.66,16.45,38.38,165.0,5.23,2377.89,30.52,71.21,41.36
1999-04-01,1334.76,16.45,39.26,166.2,5.18,2458.52,30.3,72.31,42.7
1999-05-01,1332.07,16.45,40.14,166.2,5.54,2453.57,30.3,73.93,42.56
1999-06-01,1322.55,16.45,41.02,166.2,5.9,2436.03,30.3,75.56,42.18
1999-07-01,1380.99,16.513333333333335,42.0,166.7,5.79,2536.05,30.33,77.13,43.83
1999-08-01,1327.49,16.576666666666668,42.98,167.1,5.94,2431.96,30.37,78.74,41.93
1999-09-01,1318.17,16.64,43.96,167.9,5.92,2403.38,30.34,80.15,41.32
1999-10-01,1300.01,16.656666666666666,45.36333333333334,168.2,6.11,2366.05,30.32,82.56,40.55
1999-11-01,1391.0,16.673333333333332,46.76666666666667,168.3,6.03,2530.14,30.33,85.07,43.21
1999-12-01,1428.68,16.69,48.17,168.3,6.28,2598.68,30.36,87.62,44.2
2000-01-01,1425.59,16.713333333333335,49.09666666666667,168.8,6.66,2585.38,30.31,89.04,43.77
2000-02-01,1388.87,16.736666666666668,50.02333333333333,169.8,6.52,2503.95,30.17,90.19,42.19
2000-03-01,1442.21,16.76,50.95,171.2,6.26,2578.86,29.97,91.11,43.22
2000-04-01,1461.36,16.740000000000002,51.27333333333333,171.3,5.99,2611.57,29.92,91.63,43.53
2000-05-01,1418.48,16.72,51.59666666666667,171.5,6.44,2531.99,29.85,92.1,41.97
2000-06-01,1461.96,16.7,51.92,172.4,6.1,2595.98,29.65,92.19,42.78
2000-07-01,1473.0,16.583333333333332,52.51333333333334,172.8,6.05,2609.52,29.38,93.03,42.76
2000-08-01,1485.46,16.46666666666667,53.10666666666666,172.8,5.83,2631.6,29.17,94.08,42.87
2000-09-01,1468.05,16.35,53.7,173.7,5.8,2587.28,28.82,94.64,41.9
2000-10-01,1390.14,16.323333333333334,52.46666666666667,174.0,5.74,2445.75,28.72,92.31,39.37
2000-11-01,1378.04,16.296666666666667,51.23333333333333,174.1,5.72,2423.07,28.66,90.09,38.78
2000-12-01,1330.93,16.27,50.0,174.0,5.24,2341.58,28.62,87.97,37.27
2001-01-01,1335.63,16.169999999999998,48.48,175.1,5.16,2335.08,28.27,84.76,36.98
2001-02-01,1305.75,16.07,46.96,175.8,5.1,2273.75,27.98,81.77,35.83
2001-03-01,1185.85,15.97,45.44,176.2,4.89,2060.28,27.75,78.95,32.33
2001-04-01,1189.84,15.876666666666663,42.556666666666665,176.9,5.14,2059.03,27.47,73.64,32.17
2001-05-01,1270.37,15.783333333333331,39.67333333333333,177.7,5.39,2188.49,27.19,68.35,34.07
2001-06-01,1238.71,15.69,36.79,178.0,5.28,2130.36,26.98,63.27,33.07
2001-07-01,1204.45,15.706666666666669,33.96333333333333,177.5,5.24,2077.27,27.09,58.58,32.16
2001-08-01,1178.5,15.723333333333333,31.136666666666667,177.5,4.97,2032.51,27.12,53.7,31.4
2001-09-01,1044.64,15.74,28.31,178.3,4.73,1793.57,27.02,48.61,27.67
2001-10-01,1076.59,15.740000000000002,27.10333333333333,177.7,4.57,1854.66,27.12,46.69,28.58
2001-11-01,1129.68,15.740000000000002,25.896666666666665,177.4,4.65,1949.41,27.16,44.69,30.01
2001-12-01,1144.93,15.74,24.69,176.7,5.09,1983.56,27.27,42.77,30.5
2002-01-01,1140.21,15.736666666666668,24.69333333333333,177.1,5.04,1970.92,27.2,42.68,30.28
2002-02-01,1100.67,15.733333333333334,24.69666666666667,177.8,4.91,1895.08,27.09,42.52,29.09
2002-03-01,1153.79,15.73,24.7,178.8,5.28,1975.43,26.93,42.29,30.29
2002-04-01,1111.93,15.833333333333332,25.38,179.8,5.21,1893.17,26.96,43.21,29.01
2002-05-01,1079.25,15.936666666666667,26.06,179.8,5.16,1837.53,27.13,44.37,28.13
2002-06-01,1014.02,16.04,26.74,179.9,4.93,1725.51,27.29,45.5,26.39
2002-07-01,903.59,15.96,27.84,180.1,4.65,1535.89,27.13,47.32,23.46
2002-08-01,912.55,15.88,28.94,180.7,4.26,1545.97,26.9,49.03,23.59
2002-09-01,867.81,15.8,30.04,181.0,3.87,1467.74,26.72,50.81,22.37
2002-10-01,854.63,15.89,29.223333333333333,181.3,3.94,1443.05,26.83,49.34,21.96
2002-11-01,909.93,15.98,28.406666666666663,181.3,4.05,1536.43,26.98,47.97,23.35
2002-12-01,899.18,16.07,27.59,180.9,4.03,1521.63,27.19,46.69,23.1
2003-01-01,895.84,16.119999999999997,28.5,181.7,4.05,1509.31,27.16,48.02,22.9
2003-02-01,837.03,16.169999999999998,29.41,183.1,3.9,1399.44,27.03,49.17,21.21
2003-03-01,846.63,16.22,30.32,184.2,3.81,1407.04,26.96,50.39,21.31
2003-04-01,890.03,16.203333333333333,31.73,183.8,3.96,1482.39,26.99,52.85,22.43
2003-05-01,935.96,16.186666666666667,33.13999999999999,183.5,3.57,1561.43,27.0,55.29,23.59
2003-06-01,988.0,16.17,34.55,183.7,3.33,1646.46,26.95,57.58,24.83
2003-07-01,992.54,16.310000000000002,35.89333333333333,183.9,3.98,1652.22,27.15,59.75,24.87
2003-08-01,989.53,16.450000000000003,37.236666666666665,184.6,4.45,1640.97,27.28,61.75,24.64
2003-09-01,1019.44,16.59,38.58,185.2,4.27,1685.09,27.42,63.77,25.24
2003-10-01,1038.73,16.85666666666667,41.96666666666667,185.0,4.29,1718.83,27.89,69.44,25.68
2003-11-01,1049.9,17.123333333333335,45.35333333333333,184.5,4.3,1742.02,28.41,75.25,25.95
2003-12-01,1080.64,17.39,48.74,184.3,4.27,1794.97,28.89,80.96,26.64
2004-01-01,1132.52,17.6,49.82666666666668,185.2,4.15,1872.01,29.09,82.36,27.66
2004-02-01,1143.36,17.810000000000002,50.91333333333333,186.2,4.08,1879.77,29.28,83.71,27.65
2004-03-01,1123.98,18.02,52.0,187.4,3.83,1836.08,29.44,84.94,26.89
2004-04-01,1133.36,18.21333333333333,53.38333333333333,188.0,4.35,1845.49,29.66,86.93,26.9
2004-05-01,1102.78,18.406666666666663,54.76666666666667,189.1,4.72,1785.25,29.8,88.66,25.9
2004-06-01,1132.76,18.6,56.15,189.7,4.73,1827.99,30.02,90.61,26.4
2004-07-01,1105.85,18.78666666666667,56.69,189.4,4.5,1787.39,30.36,91.63,25.7
2004-08-01,1088.94,18.973333333333333,57.23,189.5,4.28,1759.13,30.65,92.45,25.17
2004-09-01,1117.66,19.16,57.77,189.9,4.13,1801.72,30.89,93.13,25.67
2004-10-01,1117.21,19.25333333333333,58.03,190.9,4.1,1791.56,30.87,93.06,25.41
2004-11-01,1168.94,19.346666666666668,58.29,191.0,4.19,1873.53,31.01,93.42,26.47
2004-12-01,1199.21,19.44,58.55,190.3,4.23,1929.12,31.27,94.19,27.14
2005-01-01,1181.41,19.703333333333333,59.10666666666666,190.7,4.22,1896.5,31.63,94.88,26.59
2005-02-01,1199.63,19.96666666666667,59.66333333333333,191.8,4.17,1914.7,31.87,95.23,26.74
2005-03-01,1194.9,20.23,60.22,193.3,4.5,1892.35,32.04,95.37,26.34
2005-04-01,1164.43,20.46333333333333,61.23333333333333,194.6,4.34,1831.78,32.19,96.33,25.41
2005-05-01,1178.28,20.696666666666665,62.24666666666667,194.4,4.14,1855.47,32.59,98.02,25.65
2005-06-01,1202.25,20.93,63.26,194.5,4.0,1892.25,32.94,99.57,26.07
2005-07-01,1222.24,21.11,64.33,195.4,4.18,1914.85,33.07,100.78,26.29
2005-08-01,1224.27,21.29,65.39999999999999,196.4,4.26,1908.26,33.18,101.94,26.1
2005-09-01,1225.92,21.47,66.47,198.8,4.2,1887.77,33.06,102.36,25.73
2005-10-01,1191.96,21.72,67.58999999999999,199.2,4.46,1831.79,33.38,103.87,24.88
2005-11-01,1237.37,21.97,68.71,197.6,4.54,1916.97,34.04,106.45,25.93
2005-12-01,1262.07,22.22,69.83,196.8,4.47,1963.18,34.56,108.62,26.44
2006-01-01,1278.73,22.406666666666663,70.77666666666666,198.3,4.42,1974.05,34.59,109.26,26.47
2006-02-01,1276.65,22.593333333333334,71.72333333333334,198.7,4.57,1966.87,34.81,110.5,26.25
2006-03-01,1293.74,22.78,72.67,199.8,4.72,1982.23,34.9,111.34,26.33
2006-04-01,1302.17,23.0,73.27666666666666,201.5,4.99,1978.31,34.94,111.33,26.15
2006-05-01,1290.01,23.22,73.88333333333333,202.5,5.11,1950.16,35.1,111.69,25.65
2006-06-01,1253.17,23.44,74.49,202.9,5.11,1890.73,35.37,112.39,24.75
2006-07-01,1260.24,23.66,75.85,203.5,5.09,1895.79,35.59,114.1,24.7
2006-08-01,1287.15,23.88,77.21,203.9,4.88,1932.48,35.85,115.92,25.05
2006-09-01,1317.74,24.1,78.57,202.9,4.72,1988.15,36.36,118.54,25.64
2006-10-01,1363.38,24.36,79.55,201.8,4.73,2068.23,36.95,120.68,26.54
2006-11-01,1388.64,24.62,80.53,201.5,4.6,2109.68,37.4,122.34,26.93
2006-12-01,1416.42,24.88,81.51,201.8,4.56,2148.69,37.74,123.65,27.28
2007-01-01,1424.16,25.08333333333333,82.05666666666667,202.42,4.76,2153.85,37.94,124.1,27.21
2007-02-01,1444.8,25.286666666666665,82.60333333333334,203.5,4.72,2173.44,38.04,124.26,27.32
2007-03-01,1406.95,25.49,83.15,205.35,4.56,2097.4,38.0,123.96,26.23
2007-04-01,1463.64,25.71666666666667,83.74000000000001,206.69,4.69,2167.83,38.09,124.03,26.98
2007-05-01,1511.14,25.94333333333333,84.33000000000001,207.95,4.75,2224.59,38.19,124.14,27.55
2007-06-01,1514.19,26.17,84.92,208.35,5.1,2224.77,38.45,124.77,27.42
2007-07-01,1520.71,26.440000000000005,82.81333333333333,208.3,5.0,2234.92,38.86,121.71,27.41
2007-08-01,1454.62,26.71,80.70666666666666,207.92,4.67,2141.72,39.33,118.83,26.15
2007-09-01,1497.12,26.98,78.6,208.49,4.52,2198.23,39.61,115.41,26.73
2007-10-01,1539.66,27.230000000000004,74.46000000000001,208.94,4.53,2255.87,39.9,109.1,27.32
2007-11-01,1463.39,27.480000000000004,70.32000000000001,210.18,4.15,2131.46,40.03,102.42,25.73
2007-12-01,1479.22,27.73,66.18,210.04,4.1,2155.96,40.42,96.46,25.96
2008-01-01,1378.76,27.92,64.25,211.08,3.74,1999.6,40.49,93.18,24.02
2008-02-01,1354.87,28.11,62.32,211.69,3.74,1959.27,40.65,90.12,23.5
2008-03-01,1316.94,28.3,60.39,213.53,3.51,1888.05,40.57,86.58,22.61
2008-04-01,1370.47,28.436666666666667,57.383333333333326,214.82,3.68,1952.95,40.52,81.77,23.36
2008-05-01,1403.22,28.57333333333333,54.376666666666665,216.63,3.88,1982.92,40.38,76.84,23.7
2008-06-01,1341.25,28.71,51.37,218.81,4.1,1876.44,40.17,71.87,22.42
2008-07-01,1257.33,28.756666666666668,49.56333333333333,219.96,4.01,1749.85,40.02,68.98,20.91
2008-08-01,1281.47,28.80333333333333,47.75666666666667,219.09,3.89,1790.59,40.25,66.73,21.4
2008-09-01,1216.95,28.85,45.95,218.78,3.69,1702.79,40.37,64.29,20.36
2008-10-01,968.8,28.696666666666665,35.593333333333334,216.57,3.81,1369.41,40.56,50.31,16.39
2008-11-01,883.04,28.543333333333333,25.236666666666668,212.43,3.53,1272.56,41.13,36.37,15.26
2008-12-01,877.56,28.39,14.88,210.23,2.42,1277.88,41.34,21.67,15.38
2009-01-01,865.58,28.013333333333332,12.206666666666669,211.14,2.52,1254.97,40.62,17.7,15.17
2009-02-01,805.23,27.63666666666667,9.533333333333331,212.19,2.87,1161.69,39.87,13.75,14.12
2009-03-01,757.13,27.26,6.86,212.71,2.82,1089.65,39.23,9.87,13.32
2009-04-01,848.15,26.703333333333333,7.076666666666666,213.24,2.93,1217.6,38.34,10.16,14.98
2009-05-01,902.41,26.14666666666667,7.293333333333333,213.86,3.29,1291.77,37.43,10.44,16.0
2009-06-01,926.12,25.59,7.51,215.69,3.72,1314.42,36.32,10.66,16.38
2009-07-01,935.82,25.026666666666664,9.186666666666667,215.35,3.56,1330.29,35.58,13.06,16.69
2009-08-01,1009.73,24.46333333333333,10.863333333333332,215.83,3.59,1432.15,34.7,15.41,18.09
2009-09-01,1044.55,23.9,12.54,215.97,3.4,1480.61,33.88,17.77,18.83
2009-10-01,1067.66,23.40333333333333,25.35,216.18,3.39,1511.91,33.14,35.9,19.36
2009-11-01,1088.07,22.906666666666663,38.16,216.33,3.4,1539.72,32.42,54.0,19.81
2009-12-01,1110.38,22.41,50.97,215.95,3.59,1574.07,31.77,72.25,20.32
2010-01-01,1123.58,22.24,54.28999999999999,216.69,3.73,1587.35,31.42,76.7,20.53
2010-02-01,1089.16,22.07,57.61,216.74,3.69,1538.34,31.17,81.37,19.92
2010-03-01,1152.05,21.9,60.93,217.63,3.73,1620.51,30.81,85.71,21.0
2010-04-01,1197.32,21.946666666666665,62.986666666666665,218.01,3.85,1681.27,30.82,88.45,21.8
2010-05-01,1125.06,21.99333333333333,65.04333333333332,218.18,3.42,1578.58,30.86,91.26,20.48
2010-06-01,1083.36,22.04,67.1,217.97,3.2,1521.56,30.95,94.24,19.74
2010-07-01,1079.8,22.14333333333333,68.68666666666667,218.01,3.01,1516.24,31.09,96.45,19.67
2010-08-01,1087.28,22.246666666666663,70.27333333333333,218.31,2.7,1524.64,31.2,98.54,19.77
2010-09-01,1122.08,22.35,71.86,218.44,2.65,1572.52,31.32,100.71,20.38
2010-10-01,1171.58,22.476666666666667,73.69,218.71,2.54,1639.85,31.46,103.14,21.24
2010-11-01,1198.89,22.60333333333333,75.52,218.8,2.76,1677.37,31.62,105.66,21.7
2010-12-01,1241.53,22.73,77.35,219.18,3.29,1734.05,31.75,108.03,22.4
2011-01-01,1282.62,22.96333333333333,78.67,220.22,3.39,1782.94,31.92,109.36,22.98
2011-02-01,1321.12,23.196666666666665,79.99000000000001,221.31,3.58,1827.45,32.09,110.65,23.49
2011-03-01,1304.49,23.43,81.31,223.47,3.41,1787.02,32.1,111.39,22.9
2011-04-01,1331.51,23.73333333333333,82.16333333333334,224.91,3.46,1812.37,32.3,111.84,23.14
2011-05-01,1338.31,24.036666666666665,83.01666666666667,225.96,3.17,1813.09,32.56,112.47,23.06
2011-06-01,1287.29,24.34,83.87,225.72,3.0,1745.84,33.01,113.75,22.1
2011-07-01,1325.19,24.62,84.90666666666667,225.92,3.0,1795.65,33.36,115.05,22.61
2011-08-01,1185.31,24.9,85.94333333333334,226.54,2.3,1601.69,33.65,116.13,20.05
2011-09-01,1173.88,25.18,86.98,226.89,1.98,1583.84,33.97,117.36,19.7
2011-10-01,1207.22,25.596666666666664,86.97,226.42,2.15,1632.2,34.61,117.59,20.16
2011-11-01,1226.42,26.013333333333332,86.96000000000001,226.23,2.01,1659.55,35.2,117.67,20.35
2011-12-01,1243.32,26.43,86.95,225.67,1.98,1686.58,35.85,117.95,20.52
2012-01-01,1300.58,26.736666666666668,87.48,226.66,1.97,1756.53,36.11,118.15,21.21
2012-02-01,1352.49,27.043333333333337,88.01,227.66,1.97,1818.63,36.36,118.34,21.8
2012-03-01,1389.24,27.35,88.54,229.39,2.17,1853.96,36.5,118.16,22.05
2012-04-01,1386.43,27.67333333333333,88.33333333333334,230.09,2.05,1844.64,36.82,117.53,21.78
2012-05-01,1341.27,27.996666666666663,88.12666666666667,229.81,1.8,1786.65,37.29,117.39,20.94
2012-06-01,1323.48,28.32,87.92,229.48,1.62,1765.54,37.78,117.29,20.55
2012-07-01,1359.78,28.74333333333333,87.44666666666667,229.1,1.53,1816.93,38.41,116.85,21.0
2012-08-01,1403.45,29.166666666666664,86.97333333333333,230.38,1.68,1864.9,38.76,115.57,21.41
2012-09-01,1443.42,29.59,86.5,231.41,1.72,1909.5,39.14,114.43,21.78
2012-10-01,1437.82,30.14333333333333,86.50333333333333,231.32,1.75,1902.83,39.89,114.48,21.58
2012-11-01,1394.51,30.696666666666665,86.50666666666667,230.22,1.65,1854.3,40.82,115.03,20.9
2012-12-01,1422.29,31.25,86.51,229.6,1.72,1896.34,41.67,115.34,21.24
2013-01-01,1480.4,31.536666666666665,86.90666666666667,230.28,1.91,1968.0,41.92,115.53,21.9
2013-02-01,1512.31,31.82333333333333,87.30333333333334,232.17,1.98,1994.09,41.96,115.12,22.05
2013-03-01,1550.83,32.11,87.7,232.77,1.96,2039.55,42.23,115.34,22.42
2013-04-01,1570.7,32.49666666666667,88.78333333333333,232.53,1.76,2067.83,42.78,116.88,22.6
2013-05-01,1639.84,32.88333333333334,89.86666666666667,232.94,1.93,2155.02,43.21,118.1,23.41
2013-06-01,1618.77,33.27,90.95,233.5,2.3,2122.23,43.62,119.24,22.93
2013-07-01,1668.68,33.64666666666667,92.09,233.6,2.58,2186.8,44.09,120.68,23.49
